Filename,Rank,Sample,Unit,Type,Annealed,Probe #,P2O5,Na2O,SiO2,Al2O3,K2O,SO3,MnO,FeO,CaO,Cl,MgO,F ,Total,,P apfu,Na apfu,Si apfu,S apfu,Mn apfu,Fe apfu,Ca apfu,Cl apfu,Mg apfu,F apfu,est OH apfu,,O=F,O=Cl,,Corrected Total,Est OH (wt.%),Net Corrected Total
201026_P23988_AP16_REF03_Qti,4,QVC083,Toquepala Granodiorite,Groundmass,NA,01-Jan,41.96,0,0.05,-0.02,0.01,0.01,0.03,0.08,55.73,0.43,-0.02,3.17,101.86,,5.57,0,0.01,0,0,0.01,9.36,0.11,0,1.57,0.31,,1.33,0.1,,100.43,0.56,100.98
201026_P23988_AP16_REF04_Qti,4,QVC083,Toquepala Granodiorite,Groundmass,NA,01-Jan,42.12,-0.01,0.23,0.12,0,-0.01,0.01,0.07,55.89,0.34,0,2.95,102.01,,5.58,0,0.04,0,0,0.01,9.38,0.09,0,1.46,0.45,,1.24,0.08,,100.69,0.79,101.48
201026_P23988_AP16_REF05_Qti,4,QVC083,Toquepala Granodiorite,Groundmass,NA,01-Jan,42.16,0,0.05,0,0,0.01,0.01,0.03,55.6,0.4,-0.02,3.25,101.92,,5.58,0,0.01,0,0,0,9.31,0.11,0,1.61,0.29,,1.37,0.09,,100.46,0.51,100.97
201026_P23988_AP17_01_Qti,4,QVC083,Toquepala Granodiorite,Groundmass,NA,01-Jan,40.7,-0.04,1.35,0.32,0.06,0.01,0.02,0.77,53.63,0.63,0.04,2.99,100.94,,5.45,-0.01,0.21,0,0,0.1,9.08,0.17,0.01,1.49,0.34,,1.26,0.14,,99.54,0.6,100.13
201026_P23988_AP18_01_Qti,4,QVC083,Toquepala Granodiorite,Groundmass,NA,01-Jan,41.29,0.02,0.17,-0.01,0,0.12,0.03,0.01,55.23,0.59,0,2.93,101.04,,5.55,0.01,0.03,0.01,0,0,9.39,0.16,0,1.47,0.37,,1.23,0.13,,99.67,0.65,100.33
201026_P23988_AP18_01_Qti,4,QVC083,Toquepala Granodiorite,Groundmass,NA,01-Feb,41.67,0,0.09,0.01,0,0.02,0.01,0.04,55.53,0.48,-0.01,2.83,101.04,,5.59,0,0.01,0,0,0.01,9.43,0.13,0,1.42,0.45,,1.19,0.11,,99.74,0.8,100.54
201026_P23988_AP20_01_Qti,4,QVC083,Toquepala Granodiorite,Groundmass,NA,01-Jan,42.32,-0.05,0.07,0.02,0,0.01,0.02,0.16,55.74,0.21,0,3.4,102.22,,5.57,-0.02,0.01,0,0,0.02,9.29,0.06,0,1.67,0.27,,1.43,0.05,,100.74,0.48,101.22
201026_P23988_APcutoff_01_Qti,4,QVC083,Toquepala Granodiorite,Groundmass,NA,01-Jan,40.87,0,0.11,-0.01,0,0,0.04,0.13,55.29,1.61,-0.01,2.24,101.02,,5.55,0,0.02,0,0.01,0.02,9.5,0.44,0,1.14,0.43,,0.94,0.36,,99.71,0.74,100.46
201027_P23983_AP01_Transect_Qti,10,QVC024,Intermineral Monzonite,Groundmass,NA,01-Jan,41.97,0.08,0.04,0.01,-0.01,0.03,0.46,0.3,54.73,0.42,0.06,2.73,101.11,,5.63,0.02,0.01,0,0.06,0.04,9.29,0.11,0.01,1.37,0.52,,1.15,0.09,,99.87,0.91,100.78
201027_P23983_AP01_Transect_Qti,10,QVC024,Intermineral Monzonite,Groundmass,NA,01-Feb,42.17,0.03,0.03,-0.01,0,0.02,0.48,0.27,54.93,0.48,0.06,2.69,101.53,,5.64,0.01,0,0,0.06,0.04,9.3,0.13,0.01,1.34,0.53,,1.13,0.11,,100.29,0.93,101.22
